baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS00005	978.904658503203	0.0672456982734828	0.155341803297791	0.432888616237912	0.665095690537785	0.73105860559934
EQU24_RS00010	1006.3774424165	-0.410047654053153	0.182302728259232	-2.24926778643746	0.024495464021837	0.0447114657213876
EQU24_RS00015	522.894898028895	-0.29335665679877	0.157080115437819	-1.86756074109773	0.0618233228921073	0.0998129462547826
EQU24_RS00020	2573.60505698075	0.0792330228599267	0.145006900344021	0.546408637602424	0.584785073994568	0.663223535696186
EQU24_RS00035	574.805889356414	0.249370827223704	0.244741872126356	1.0189136213478	0.308243976395254	0.392346076553857
EQU24_RS00040	596.371348678483	-1.11859913279683	0.172826535378086	-6.47238070444282	9.64706811103412e-11	9.25933905776768e-10
EQU24_RS00045	483.069659493141	-0.653815321394956	0.231130835626106	-2.82876717692751	0.00467276792738153	0.0103919872087886
EQU24_RS00050	1132.41999126863	-0.157566923153544	0.232966268278771	-0.676350805280518	0.498817943320915	0.584991987314677
EQU24_RS00055	89.0817533472208	-0.721384244642338	0.187918154640164	-3.83882145939378	0.000123626282477262	0.000403242801055914
EQU24_RS00060	1158.79521669459	-0.119294838756868	0.217895521398848	-0.547486419138025	0.584044598242495	0.663041009662957
EQU24_RS00070	23.802678946628	0.0866024062165188	0.23786626346813	0.36408023968528	0.71579809214159	0.772815378275581
EQU24_RS00075	34.0012136444096	-0.806194674788784	0.256986307191252	-3.13711140332782	0.00170621283694446	0.00428011645474965
EQU24_RS00080	178.504218009743	0.029887925877104	0.185544639649989	0.161082130604713	0.872028714158253	0.899608948625074
EQU24_RS00085	750.423026560782	-0.575604245755139	0.215244736390014	-2.6741850017283	0.00749111138636269	0.0158264027815098
EQU24_RS00090	1254.12411221433	-0.374573946272734	0.191407705267627	-1.95694288142164	0.0503541841996463	0.0834108121424364
EQU24_RS00095	1315.28942805354	-0.0533632405059635	0.228699502112162	-0.233333435416892	0.815502497330263	0.854701154464215
EQU24_RS00100	648.422349885771	-1.58114818017906	0.191306598175544	-8.26499553731122	1.39699969572363e-16	2.65628567736645e-15
EQU24_RS00105	1478.55705744804	-2.83508647335631	0.243675196236764	-11.6346945324777	2.74571328524066e-31	1.74853995244215e-29
EQU24_RS00110	1558.96568675671	-1.54476008984263	0.267407699625766	-5.77679734728843	7.61358939396301e-09	5.50373345019452e-08
EQU24_RS00115	3648.01008712466	-0.906629101491809	0.218692644185599	-4.14567716654601	3.38810910948227e-05	0.000124251313960173
EQU24_RS00125	2452.87059246289	2.38532057134245	0.191845485384224	12.4335507117365	1.71828990332422e-35	1.56676797548563e-33
EQU24_RS00130	106.431091806776	1.80567378432392	0.184989962398509	9.76092843585806	1.65631868049873e-22	5.19152386418821e-21
EQU24_RS00135	266.382925083917	1.03197695509287	0.190121093831997	5.42799819995138	5.69896144465407e-08	3.51217101627529e-07
EQU24_RS00140	126.670751876352	1.34736817366836	0.249886889879917	5.39191221402547	6.97118246764251e-08	4.193161028513e-07
EQU24_RS00145	32.2060530452534	0.359320214984293	0.251741385964399	1.42733866983281	0.153482299440842	0.217663833636146
EQU24_RS00150	163.270979432521	1.54430240354959	0.223463242402697	6.91076701002413	4.82040204271375e-12	5.52555799867645e-11
EQU24_RS00155	66.6771567006288	1.84482011975614	0.223481008365771	8.25493017615494	1.51991071183957e-16	2.86285529384994e-15
EQU24_RS00160	610.04437871649	2.94462686730945	0.427516753427866	6.88774613789793	NA	NA
EQU24_RS00165	41.8366333930626	1.04672598138533	0.289233920096034	3.61895997896024	0.000295789373349966	0.000890921145555602
EQU24_RS00170	208.99479485966	0.292551713029709	0.201041113249223	1.45518351098187	0.145618464505729	0.208427142203705
EQU24_RS00175	38.935418740868	0.762452965632239	0.213889244016606	3.56470924537489	0.000364259758311675	0.00107456628701944
EQU24_RS00180	346.824952359173	0.854365401409967	0.135311897496073	6.31404493780574	2.71834947590421e-10	2.47864047666539e-09
EQU24_RS00185	52.2464690651429	0.583246186883218	0.18592548543938	3.13698891523605	0.0017069258044864	0.00428011645474965
EQU24_RS00190	88.1002728228304	0.759102587651063	0.280078263631133	2.71032309972763	0.00672176939286956	0.0143981520577644
EQU24_RS00195	463.999047188984	-0.327961535399792	0.193521333630233	-1.69470481237194	0.0901314323083578	0.138281952742306
EQU24_RS00205	88.8562375265279	1.94630211776055	0.315168661180179	6.17543035678877	6.59834875864255e-10	5.66864565731775e-09
EQU24_RS00210	278.450399665085	0.898386792701446	0.185097178409931	4.85359528664346	1.2124304429188e-06	5.92481234712575e-06
EQU24_RS00215	142.387513968061	-0.229740098834533	0.220850142746811	-1.04025334091775	0.29822221549468	0.381770111220375
EQU24_RS00225	651.046307007548	0.452496257401103	0.324119398539846	1.39607891239955	0.16269073323823	0.228461750700657
EQU24_RS00230	443.312487267613	-0.755467030327811	0.141933288933117	-5.32269093463908	1.02243375809085e-07	5.98372626812814e-07
