baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS00005	978.904658503203	0.553172482335558	0.155627468632345	3.55446559143345	0.000378748067239784	0.00099969555642501
EQU24_RS00010	1006.3774424165	-0.35091752260465	0.182868131020188	-1.91896488823364	0.0549887775955735	0.0873415847521632
EQU24_RS00015	522.894898028895	0.120708349987082	0.157372812559322	0.767021622248634	0.443068659937373	0.520829611388438
EQU24_RS00020	2573.60505698075	-0.10816078481953	0.145295260861579	-0.744420596915222	0.456622062064747	0.534724960012774
EQU24_RS00035	574.805889356414	-0.0273416356578666	0.246114241316657	-0.111093269172864	0.911542386125773	0.932222292413103
EQU24_RS00040	596.371348678483	-1.21669566500968	0.173530201186972	-7.01143464761351	2.35886670958493e-12	2.42660852278327e-11
EQU24_RS00045	483.069659493141	-0.855913477621056	0.232449910440644	-3.68214156761145	0.000231282912083952	0.000640377531594764
EQU24_RS00050	1132.41999126863	-0.357391693882626	0.234129235831313	-1.52647187615699	0.126892389304897	0.179827716669462
EQU24_RS00055	89.0817533472208	-1.03222532800047	0.1903686051545	-5.42224558068667	5.88549480661093e-08	3.1609913204984e-07
EQU24_RS00060	1158.79521669459	-0.133866586389839	0.218833217725114	-0.611728821526512	0.540717189650625	0.617347001957402
EQU24_RS00070	23.802678946628	0.107641883622659	0.240819218491948	0.446982115035217	0.654887973333015	0.71783336489288
EQU24_RS00075	34.0012136444096	-0.777993399813126	0.260221358982712	-2.98973690266837	0.00279217833160797	0.00612812881094704
EQU24_RS00080	178.504218009743	0.207112559335688	0.186217744370752	1.11220635839803	0.266049434684357	0.34101927538455
EQU24_RS00085	750.423026560782	-0.542389028482272	0.216174155613293	-2.50903734048826	0.0121060686450763	0.0226638297685946
EQU24_RS00090	1254.12411221433	-0.0803945782599955	0.192003004719754	-0.418715209052788	0.675424279066558	0.73396592838977
EQU24_RS00095	1315.28942805354	0.304694664539079	0.229731426598857	1.3263081549183	0.184737646760661	0.248630472594354
EQU24_RS00100	648.422349885771	-1.56339407062955	0.192056378292416	-8.14028716218529	3.943414775699e-16	6.48400822955099e-15
EQU24_RS00105	1478.55705744804	-2.9268699265872	0.245127529958291	-11.940192629874	7.305381079069e-33	4.80478506380735e-31
